0.01	100	100
0.02	156	44
0.03	36	164
0.04	20	180
0.05	20	180
0.06	100	100
0.07	180	20
0.08	172	28
0.09	148	52
0.1	20	180
0.11	20	180
0.12	20	180
0.13	20	180
0.14	36	164
0.15	164	36
0.16	100	100
0.17	100	100
0.18	76	124
0.19	20	180
0.2	20	180
0.21	20	180
0.22	100	100
0.23	180	20
0.24	68	132
0.25	20	180
0.26	84	116
0.27	180	20
0.28	124	76
0.29	100	100
0.3	84	116
0.31	100	100
0.32	76	124
0.33	20	180
0.34	20	180
0.35	20	180
0.36	20	180
0.37	20	180
0.38	28	172
0.39	52	148
0.4	20	180
0.41	20	180
0.42	76	124
0.43	100	100
0.44	100	100
0.45	100	100
0.46	100	100
0.47	100	100
0.48	100	100
0.49	100	100
0.5	100	100
0.51	100	100
0.52	100	100
0.53	100	100
0.54	100	100
0.55	100	100
0.56	76	124
0.57	100	100
0.58	148	52
0.59	148	52
0.6	36	164
0.61	20	180
0.62	20	180
0.63	20	180
0.64	20	180
0.65	20	180
0.66	20	180
0.67	20	180
0.68	20	180
0.69	20	180
0.7	20	180
0.71	20	180
0.72	20	180
0.73	20	180
0.74	20	180
0.75	20	180
0.76	20	180
0.77	20	180
0.78	180	20
0.79	180	20
0.8	180	20
0.81	116	84
0.82	20	180
0.83	108	92
0.84	132	68
0.85	100	100
0.86	100	100
0.87	100	100
0.88	100	100
0.89	100	100
0.9	100	100
0.91	100	100
0.92	100	100
0.93	148	52
0.94	100	100
0.95	100	100
0.96	100	100
0.97	100	100
0.98	44	156
0.99	20	180
1	20	180
1.01	20	180
1.02	20	180
1.03	20	180
1.04	20	180
1.05	132	68
1.06	180	20
1.07	84	116
1.08	20	180
1.09	20	180
1.1	20	180
1.11	20	180
1.12	20	180
1.13	20	180
1.14	92	108
1.15	28	172
1.16	20	180
1.17	20	180
1.18	20	180
1.19	20	180
1.2	20	180
1.21	116	84
1.22	172	28
1.23	180	20
1.24	180	20
1.25	180	20
1.26	180	20
1.27	180	20
1.28	180	20
1.29	172	28
1.3	100	100
1.31	100	100
1.32	148	52
1.33	116	84
1.34	100	100
1.35	172	28
1.36	108	92
1.37	100	100
1.38	100	100
1.39	100	100
1.4	100	100
1.41	100	100
1.42	92	108
1.43	20	180
1.44	20	180
1.45	20	180
1.46	20	180
1.47	20	180
1.48	20	180
1.49	20	180
1.5	20	180
1.51	20	180
1.52	20	180
1.53	20	180
1.54	20	180
1.55	20	180
1.56	20	180
1.57	20	180
1.58	20	180
1.59	20	180
1.6	20	180
1.61	20	180
1.62	20	180
1.63	20	180
1.64	20	180
1.65	20	180
1.66	20	180
1.67	20	180
1.68	20	180
1.69	20	180
1.7	20	180
1.71	20	180
1.72	20	180
1.73	20	180
1.74	20	180
1.75	20	180
1.76	20	180
1.77	20	180
1.78	20	180
1.79	20	180
1.8	20	180
1.81	132	68
1.82	180	20
1.83	180	20
1.84	172	28
1.85	180	20
1.86	172	28
1.87	100	100
1.88	100	100
1.89	100	100
1.9	100	100
1.91	100	100
1.92	100	100
1.93	84	116
1.94	20	180
1.95	20	180
1.96	20	180
1.97	20	180
1.98	20	180
1.99	20	180
2	20	180
2.01	36	164
2.02	20	180
2.03	52	148
2.04	100	100
2.05	164	36
2.06	172	28
2.07	108	92
2.08	100	100
2.09	156	44
2.1	108	92
2.11	100	100
2.12	172	28
2.13	156	44
2.14	100	100
2.15	100	100
2.16	84	116
2.17	20	180
2.18	20	180
2.19	20	180
2.2	20	180
2.21	20	180
2.22	20	180
2.23	20	180
2.24	20	180
2.25	20	180
2.26	44	156
2.27	100	100
2.28	100	100
2.29	100	100
2.3	100	100
2.31	100	100
2.32	100	100
2.33	100	100
2.34	100	100
2.35	100	100
2.36	100	100
2.37	100	100
2.38	100	100
2.39	100	100
2.4	100	100
2.41	100	100
2.42	100	100
2.43	100	100
2.44	76	124
2.45	20	180
2.46	20	180
2.47	68	132
2.48	116	84
2.49	100	100
2.5	100	100
2.51	100	100
2.52	100	100
2.53	100	100
2.54	100	100
2.55	100	100
2.56	148	52
2.57	180	20
2.58	84	116
2.59	20	180
2.6	20	180
2.61	20	180
2.62	20	180
2.63	20	180
2.64	84	116
2.65	180	20
2.66	172	28
2.67	20	180
2.68	20	180
2.69	20	180
2.7	20	180
2.71	20	180
2.72	20	180
2.73	20	180
2.74	20	180
2.75	132	68
2.76	140	60
2.77	180	20
2.78	180	20
2.79	180	20
2.8	116	84
2.81	100	100
2.82	100	100
2.83	100	100
2.84	100	100
2.85	100	100
2.86	100	100
2.87	100	100
2.88	100	100
2.89	156	44
2.9	20	180
2.91	20	180
2.92	20	180
2.93	20	180
2.94	20	180
2.95	20	180
2.96	20	180
2.97	36	164
2.98	20	180
2.99	20	180
3	20	180
3.01	20	180
3.02	20	180
3.03	20	180
3.04	20	180
3.05	20	180
3.06	20	180
3.07	20	180
3.08	20	180
3.09	20	180
3.1	20	180
3.11	20	180
3.12	20	180
3.13	20	180
3.14	20	180
3.15	148	52
3.16	180	20
3.17	164	36
3.18	148	52
3.19	124	76
3.2	172	28
3.21	100	100
3.22	100	100
3.23	148	52
3.24	180	20
3.25	180	20
3.26	36	164
3.27	20	180
3.28	20	180
3.29	20	180
3.3	20	180
3.31	20	180
3.32	148	52
3.33	180	20
3.34	180	20
3.35	180	20
3.36	180	20
3.37	180	20
3.38	132	68
3.39	20	180
3.4	20	180
3.41	20	180
3.42	20	180
3.43	20	180
3.44	36	164
3.45	108	92
3.46	100	100
3.47	68	132
3.48	20	180
3.49	20	180
3.5	60	140
